timestamp,predicted_pm25,ispu_value,ews_category,ews_action
2026-01-01 22:00:00,52.03,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-01 23:00:00,52.3,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 00:00:00,53.94,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 01:00:00,55.11,100,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 02:00:00,57.19,103,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-02 03:00:00,58.83,105,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-02 04:00:00,60.97,107,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-02 05:00:00,62.47,108,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-02 06:00:00,63.95,110,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-02 07:00:00,63.41,109,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-02 08:00:00,59.43,105,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-02 09:00:00,52.02,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 10:00:00,44.38,86,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 11:00:00,39.37,80,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 12:00:00,38.07,79,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 13:00:00,38.88,80,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 14:00:00,40.81,82,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 15:00:00,42.98,85,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 16:00:00,46.03,88,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 17:00:00,48.37,91,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 18:00:00,50.18,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 19:00:00,50.7,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 20:00:00,51.63,95,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 21:00:00,51.8,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 22:00:00,52.92,97,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-02 23:00:00,53.25,97,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 00:00:00,54.74,99,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 01:00:00,55.81,101,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-03 02:00:00,57.75,103,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-03 03:00:00,59.28,105,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-03 04:00:00,61.3,107,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-03 05:00:00,62.77,109,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-03 06:00:00,64.21,110,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-03 07:00:00,63.64,110,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-03 08:00:00,59.65,105,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-03 09:00:00,52.27,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 10:00:00,44.69,87,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 11:00:00,39.63,81,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 12:00:00,38.28,79,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 13:00:00,39.07,80,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 14:00:00,41.0,82,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 15:00:00,43.23,85,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 16:00:00,46.35,89,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 17:00:00,48.6,92,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 18:00:00,50.4,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 19:00:00,50.89,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 20:00:00,51.89,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 21:00:00,52.06,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 22:00:00,53.21,97,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-03 23:00:00,53.52,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 00:00:00,54.98,99,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 01:00:00,56.01,102,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-04 02:00:00,57.92,104,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-04 03:00:00,59.44,105,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-04 04:00:00,61.46,107,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-04 05:00:00,62.94,109,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-04 06:00:00,64.37,110,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-04 07:00:00,63.81,110,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-04 08:00:00,59.82,106,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-04 09:00:00,52.42,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 10:00:00,44.88,87,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 11:00:00,39.78,81,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 12:00:00,38.41,79,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 13:00:00,39.19,80,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 14:00:00,41.13,82,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 15:00:00,43.38,85,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 16:00:00,46.51,89,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 17:00:00,48.7,92,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 18:00:00,50.5,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 19:00:00,50.99,95,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
